     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 


        38661 	        0.000 	         0.10 	        -0.14 	         9.86 	         0.02 	         0.02 	        -0.09 
        38662 	        0.016 	         0.13 	        -0.17 	         9.94 	         0.01 	         0.02 	        -0.05 
        38663 	        0.032 	         0.11 	        -0.22 	         9.83 	         0.01 	         0.03 	        -0.03 
        38664 	        0.048 	         0.13 	         0.10 	         9.87 	         0.01 	         0.04 	        -0.01 
        38665 	        0.064 	         0.33 	        -1.07 	        10.03 	         0.02 	         0.07 	         0.12 
        38666 	        0.080 	        -0.07 	         0.07 	         9.95 	         0.00 	         0.02 	         0.03 
        38667 	        0.096 	         0.02 	        -0.17 	         9.83 	        -0.00 	         0.02 	        -0.00 
        38668 	        0.112 	         0.15 	        -0.20 	         9.81 	        -0.00 	         0.02 	        -0.04 
        38669 	        0.128 	         0.13 	        -0.16 	         9.90 	         0.00 	        -0.01 	        -0.00 
        38670 	        0.144 	         0.21 	        -0.17 	         9.83 	        -0.00 	         0.01 	         0.01 
        38671 	        0.160 	         0.09 	        -0.15 	         9.88 	         0.01 	         0.03 	         0.05 
        38672 	        0.176 	        -0.00 	        -0.23 	         9.88 	         0.01 	         0.01 	         0.03 
        38673 	        0.192 	         0.01 	        -0.21 	         9.79 	         0.01 	         0.04 	         0.05 
        38674 	        0.208 	         0.04 	        -0.12 	         9.90 	         0.00 	         0.03 	         0.01 
        38675 	        0.224 	         0.03 	        -0.18 	         9.85 	         0.00 	        -0.00 	         0.00 
        38676 	        0.240 	         0.08 	        -0.19 	         9.86 	         0.00 	        -0.01 	         0.00 
        38677 	        0.256 	         0.06 	        -0.16 	         9.89 	         0.00 	        -0.00 	         0.01 
        38678 	        0.272 	         0.03 	        -0.14 	         9.87 	         0.00 	        -0.01 	         0.00 
        38679 	        0.288 	         0.02 	        -0.21 	         9.92 	         0.00 	        -0.01 	         0.00 
        38680 	        0.304 	         0.04 	        -0.16 	         9.88 	        -0.00 	        -0.00 	         0.00 
        38681 	        0.320 	         0.07 	        -0.18 	         9.81 	         0.00 	         0.03 	         0.00 
        38682 	        0.336 	         0.13 	        -0.09 	         9.85 	         0.01 	        -0.00 	         0.01 
        38683 	        0.352 	         0.06 	        -0.20 	         9.92 	        -0.00 	        -0.02 	         0.00 
        38684 	        0.368 	         0.04 	        -0.13 	         9.83 	         0.00 	         0.02 	         0.01 
        38685 	        0.384 	         0.16 	        -0.21 	         9.86 	         0.00 	         0.01 	         0.00 
        38686 	        0.400 	        -0.00 	        -0.20 	         9.90 	        -0.00 	        -0.01 	         0.00 
        38687 	        0.416 	         0.01 	        -0.18 	         9.84 	        -0.00 	         0.01 	         0.00 
        38688 	        0.432 	         0.08 	        -0.18 	         9.89 	         0.01 	        -0.00 	         0.00 
        38689 	        0.448 	         0.05 	        -0.13 	         9.91 	         0.00 	        -0.01 	         0.00 
        38690 	        0.464 	         0.05 	        -0.17 	         9.85 	        -0.00 	         0.00 	         0.00 
        38691 	        0.480 	         0.07 	        -0.14 	         9.88 	         0.01 	        -0.00 	         0.00 
